Name,Active,Kind,Damage_Parts,Normal_Attack,Normal_Bonus,Same_Turn,Defence,Needs_Review,Notes,Ability_Text
Abaddon The Despoiler,Drach’nyen,damage,1,Y,,N,,N,"Owner-confirmed: counts the normal attack + one 3x Piercing. The 3x Piercing after every later melee attack (rest of battle) is not counted. Defence: ""set to X Health"" is an emergency heal when low, so not counted.","Abaddon is set to {[hp]} Health and immediately performs a normal melee attack against an adjacent enemy unit. After this attack and for the rest of the battle, after performing a normal melee attack, Abaddon performs a second attack against an adjacent enemy unit, dealing {[nrOfHits]}x {[minDmg]}-{[maxDmg]} Piercing Damage. Abaddon cannot be set to higher Health than his maximum Health."
Abraxas,Malefic Maelstrom,summon,,N,,N,,N,,"Summon a Pink Horror on a free hex adjacent to Abraxas. Until the end of this turn, whenever an enemy unit is dealt Psychic Damage, summon a Screamer of Tzeentch on a free hex adjacent to Abraxas, preferring hexes adjacent to enemy units. Newly summoned units can immediately attack an enemy in range but cannot move. Pink Horror stats: {[summonHp]} Health {[summonDmg]} Damage Screamer of Tzeentch stats: {[summonHp_2]} Health {[summonDmg_2]} Damage"
Actus,Defend The Divine Work,heal,,N,,N,heal:hpToRepair,N,,Repairs himself and all friendly adjacent units {[hpToRepair]} Health.
Adamatar,Doom Siren,damage,1,N,,N,,N,Other targets not counted.,"Deals {[nrOfHits]}x {[minDmg]}-{[maxDmg]} Direct Damage to an adjacent enemy and up to {[nrOfUnits]} other random enemies adjacent to the target. For the rest of the battle, Adamatar's normal attacks score an additional hit for each enemy Overkilled by Doom Siren."
Aesoth,Vexilla Magnifica,damage,1,N,,N,pct:dmgReductionPct;stun:one,N,,"Deals {[nrOfHits]}x {[minDmg]}-{[maxDmg]} Physical Damage to an adjacent enemy target and an additional adjacent enemy unit. Both enemies are Stunned for 1 round, and Aesoth receives -{[dmgReductionPct]}% Damage for {[nrOfRounds]} round. This ability can be used multiple times per battle but has a cooldown of {[cooldownTurns]} rounds."
Aethana,Swooping Hawk,damage,dmg[0],N,,N,,N,First target only (dmg[0]).,"Flies over and deals a wave of damage from an initial melee target to targets up to 2 hexes behind. {[nrOfHits]}x {[dmg[0]]} Piercing Damage to first target, {[nrOfHits]}x {[dmg[1]]} Piercing Damage to the second, and {[nrOfHits]}x {[dmg[2]]} Piercing Damage to the third. Lands in the hex directly behind the last target hit, or - in case that hex is occupied - to the closest free hex to it. This ability's Damage ignores all of the attacker bonuses and modifiers (including elevation), and cannot Crit."
Ahriman,Doombolt,damage,1,N,,N,,N,Owner-confirmed: hits are spread between all enemies in range; counted as if all land on the target. +1 hit per burning hex not counted.,"Deals {[nrOfHits]}x {[minDmg]}-{[maxDmg]} Psychic Damage, evenly distributing the hits between all enemies within {[range]} hexes. Adds +1 hit for each hex on the battlefield that is currently on Fire. Cannot exceed 9 hits. When Ahriman defeats an enemy with his normal ranged attack and Doombolt has already been used, then Doombolt can be used again in this battle."
Aleph-Null,Scarab Hive,summon,,N,,N,,N,,"Summons 2 Scarab Swarms next to the target, whom they immediately attack using the Damage type Piercing. In any subsequent attack they use their normal damage type. Scarab Swarm’s stats: {[summonHp]} Health {[summonDmg]} Damage {[summonArmor]} Armour"
Ammuk,Ironkin Steeljack,summon,,N,,N,,N,,"Summons an Ironkin Steeljack in a free adjacent hex. The Ironkin Steeljack can immediately attack, but cannot move this turn. Ironkin Steeljack stats: {[summonHp]} Health {[summonDmg]} Damage {[summonArmor]} Armour"
Ancient Thoread,Unbreakable Duty,defence,,N,,N,pct:dmgReductionPct,N,"Normal attack only if 2+ Imperial characters are dead, so not counted.","Ancient Thoread and all friendly units within {[range]} hexes receive -{[dmgReductionPct]}% Damage until the start of their next turn. If 2 or more friendly Imperial Characters are dead upon activation of this ability, Ancient Thoread gains {[extraHp]} extra Health and +{[extraDmg]} Damage until the end of the battle and immediately performs a normal attack against an adjacent enemy."
Angrax,Bringer of Despair,damage,1,N,,N,,N,,Deals {[nrOfHits]}x {[minDmg]}-{[maxDmg]} Power Damage to a melee target and {[nrOfHits_2]}x {[minDmg]}-{[maxDmg]} Power Damage to another random enemy adjacent to Angrax. Any resulting Battle Fatigue is triggered twice.
Anuphet,Resurrection Orb,summon,,N,,N,,N,,"Resurrects a random friendly Mechanical character in a free adjacent hex and additionally summons Necron Warriors in free adjacent hexes. Summons one Necron Warrior for each round that has passed and for each friendly Mechanical unit that was defeated in this battle, up to a maximum of {[maxSummons]} Necron Warriors. Units are resurrected and summoned with {[hpPct]}% Health. Necron Warrior’s stats: {[summonHp]} Health {[summonDmg]} Damage {[summonArmor]} Armour"
Archimatos,Daemonic Incursion,summon,,N,,N,,N,,"Summons a Bloodletter adjacent to an enemy target within range {[range]}. The Bloodletter immediately attacks the target. Keeps summoning Bloodletters up to a max of {[maxSummons]}, as long as the target has not been defeated, is in range and has a free hex adjacent to it. Bloodletter’s stats: {[summonHp]} Health {[summonDmg]} Damage"
