Relic,Character
Amulet of the Voidwyrm,Hollan
Amulet of the Voidwyrm,Isaak
Amulet of the Voidwyrm,Judh
Blade of the Ancestors,Uthar the Destined
Book of Fate,Abraxas
Book of Fate,Archimatos
Book of Fate,Thaumachus
Chalice of Baal,Nicodemus
DW-02 Advanced Burst Cannon,Re'vas
Daemonflesh Plate,Angrax
Daemonflesh Plate,Maladus
Daemonflesh Plate,Toth
Daemonflesh Plate,Wrask
Dawn Blade,Commander Farsight
Headwoppa's Killchoppa,Boss Gulgortz
Helspear,Haarken Worldclaimer
Intoxicating Elixir,Adamatar
Intoxicating Elixir,Hascule
Intoxicating Elixir,Shiron
Intoxicating Elixir,Laviscus
Kardiocore Galvanus,Exitor-Rho
Kardiocore Galvanus,Sy-Gex
Kardiocore Galvanus,Tan Gi'da
Lakrimae,Typhus
Maugetar,Maugan Ra
Maw-Claws of Thyrax,Parasite of Mortrex
Maw-Claws of Thyrax,The Patermine
Maw-Claws of Thyrax,Tyrant Guard
Maw-Claws of Thyrax,Winged Prime
Monster Slayer of Caliban,Forcas
Nether-Realm Casket,Aleph-Null
Nether-Realm Casket,Imospekh
Nether-Realm Casket,Makhotep
Norn Crown,Neurothrope
Orbs of Decay,Corrodius
Orbs of Decay,Nauseous Rotbone
Orbs of Decay,Pestillian
Paragon Spear,Tyrith
Phasal Subjugator,Anuphet
Phoenix Gem,Aethana
Relic Bolt Pistol,Bellator
Relic Bolt Pistol,Cyrus
Relic Bolt Pistol,Ramus
Relic Bolt Pistol,Sarquael
Relic Bolt Pistol,Sword Brother Godswyl
Relic Bolt Pistol,Titus
Relic Bolt Pistol,Tjark
Relic Power Fist,Baraqiel
Relic Power Fist,Brother Burchard
Relic Power Fist,Mataneo
Relic of Lost Cadia,Kut Skoden
Relic of Lost Cadia,Sibyll Devine
Relic of Lost Cadia,Thaddeus Noble
Sabre of Sacrifice,Marshal Dreir
Supa-Cybork Body,Gibbascrapz
Supa-Cybork Body,Snotflogga
Supa-Cybork Body,Tanksmasha
Talisman of Rage,Azkor
Talisman of Rage,Macer
Talisman of Rage,Tarvakh
Talon of Horus,Abaddon The Despoiler
The Ardent Blade,Celestine
Vitarus,Mephiston
Volumm's Master Artifice,Vynn
Wyrdmaker's Helm,Baldr
