platform,video_id,thread_index,comment_id,parent_id,is_reply,author,author_channel_id,author_channel_url,text,likes,published_at,updated_at,total_reply_count
YouTube,BIh3FhgM49E,1,UgziVyydOfeGjN21f_J4AaABAg,,False,@trentathawat6714,UCWYprQPacX7BOzpuCOrwOuA,http://www.youtube.com/@trentathawat6714,Looking at my Tacticus Planner and the Master Leaderboard Table for LREs I have MATANEO as my #5 most appearing character and I can see why. He has the combination of powerful attacks with good piercing and summoning that isn't dependent on getting a kill. The ability to resummon his wingmen every turn means you don't mind if they take damage or get killed. The only drawbacks to him are his single attack and the need to have open board hexes for him to move to. When the board gets flooded in later stages his effectiveness drops off.,0,2026-08-14T13:37:17Z,2026-08-14T13:37:17Z,1
YouTube,BIh3FhgM49E,1,UgziVyydOfeGjN21f_J4AaABAg.A_UwpIz7ob3A_Uy1_0swtn,UgziVyydOfeGjN21f_J4AaABAg,True,@DBPreacherTacticus,UCH1LnWpEBQkT8zIYIeKazlw,http://www.youtube.com/@DBPreacherTacticus,That’s a good shout.  He does fall off a bit later on with his defence.  I find he dies a bit quickly but his spawns are great,0,2026-08-14T13:47:50Z,2026-08-14T13:47:50Z,
YouTube,BIh3FhgM49E,2,UgyKl_hEyCD8eLxdmw94AaABAg,,False,@ozzysaritas,UCyADyK9zNqyBlgTFEaziyZg,http://www.youtube.com/@ozzysaritas,"The list deserves some honorable mentions I think:

- Typhus with Relic is insane on those Psycher tracks.
- Aesoth is pretty good with every 2 turn damage reduction active and a less powerful Tyrant Guard aura. Also probably will be already built because of Raids.
- Baldyr with Relic is pretty good.
- Tan Gida (and Actus) is a glaring omission. Actus is more dependant on fitting on a track with Tan or Revas but when he does, it's pretty broken.
- This one is less so but a well built Gibbascraps usually fit in with Mythic Snot tracks and have pretty good synergy with armor, heal and a strong tank. I think he needs to be Mythic with the Relic but when he is, it's basically like a worse Aleph.
- A G1 Titus literally solo carries Chain tracks up to 8. Which is the highest ROI LRE investment in the game I think.
- This is also less so, but a well built Angrax with few spawn points and/or the new Cezare look promising.",0,2026-08-14T13:00:59Z,2026-08-14T13:02:41Z,1
YouTube,BIh3FhgM49E,2,UgyKl_hEyCD8eLxdmw94AaABAg.A_UsfSuKWADA_Uy4fU9Jfg,UgyKl_hEyCD8eLxdmw94AaABAg,True,@DBPreacherTacticus,UCH1LnWpEBQkT8zIYIeKazlw,http://www.youtube.com/@DBPreacherTacticus,All well worthy of a mention.  I think I will do a second follow up video to this,0,2026-08-14T13:48:15Z,2026-08-14T13:48:15Z,
YouTube,BIh3FhgM49E,3,UgxHPxXWShKo86KDSCF4AaABAg,,False,@nazlurf,UC0licYwuXl9B0S-4DljDg5A,http://www.youtube.com/@nazlurf,"I would have swapped the summoner, Tan Gida, for Snotflogga because he's in a raid team (maximizing your investment) and he can be healed at lower rarities.
I would have replaced Dreir with Titus. Maybe I haven't played with Dreir enough, but Titus fits more restrictions and can revive indefinitely!",0,2026-08-14T10:32:49Z,2026-08-14T10:32:49Z,1
YouTube,BIh3FhgM49E,3,UgxHPxXWShKo86KDSCF4AaABAg.A_UbiDcg7M3A_Uy7VxJfss,UgxHPxXWShKo86KDSCF4AaABAg,True,@DBPreacherTacticus,UCH1LnWpEBQkT8zIYIeKazlw,http://www.youtube.com/@DBPreacherTacticus,"I agree, him or typhus for sure.  I’ll do a follow up video",0,2026-08-14T13:48:38Z,2026-08-14T13:48:38Z,
YouTube,BIh3FhgM49E,4,UgyZYeZavF9T193Alz94AaABAg,,False,@DSvhen,UCPuU52crI8VIsFq82FXah4g,http://www.youtube.com/@DSvhen,Angrax is missing from your list.,0,2026-08-14T00:21:23Z,2026-08-14T00:21:23Z,1
YouTube,BIh3FhgM49E,4,UgyZYeZavF9T193Alz94AaABAg.A_TWk-OkUJgA_TzaUq6fw-,UgyZYeZavF9T193Alz94AaABAg,True,@DBPreacherTacticus,UCH1LnWpEBQkT8zIYIeKazlw,http://www.youtube.com/@DBPreacherTacticus,Who would you replace him with,0,2026-08-14T04:42:14Z,2026-08-14T04:42:14Z,
YouTube,BIh3FhgM49E,5,UgwUYjm-dqX_x3zBxoJ4AaABAg,,False,@robertd6707,UC3OqfiyPISwj2V_6qVmiK5Q,http://www.youtube.com/@robertd6707,Great video!,0,2026-08-13T22:32:59Z,2026-08-13T22:32:59Z,0
YouTube,BIh3FhgM49E,6,UgwIOoNVxgvZ1e9JB-F4AaABAg,,False,@1917cutlass,UCYMVcL4NLJWnI5svNQz2EXQ,http://www.youtube.com/@1917cutlass,"Typhus, with his legendary weapon, should definitely be on the list. Any enemy killed within his plague aura (doesn't matter how or by who) becomes a pox walker.",2,2026-08-13T22:03:50Z,2026-08-13T22:03:50Z,1
YouTube,BIh3FhgM49E,6,UgwIOoNVxgvZ1e9JB-F4AaABAg.A_TH-ZMFJt1A_Tz_-_BvWb,UgwIOoNVxgvZ1e9JB-F4AaABAg,True,@DBPreacherTacticus,UCH1LnWpEBQkT8zIYIeKazlw,http://www.youtube.com/@DBPreacherTacticus,I think I would replace snotflogga with him,1,2026-08-14T04:42:02Z,2026-08-14T04:42:02Z,
YouTube,BIh3FhgM49E,7,UgytNZ2ZhNaVNYrdbjR4AaABAg,,False,@daffettamukkitia6958,UCJPWVJ5joZNGAf4n2AWstBg,http://www.youtube.com/@daffettamukkitia6958,"Wait… where is Tha Boss? He has ranged attack, he has boyz and can be repaired by Aleph… I like synergies! As already said by others, probably Cezare and Anuphet will be soon in the top 10 ;)

p.s. I'm the only one who find so satisfing to clear a huge amount of enemies using a combo of Typhus and Thot with their active?",0,2026-08-13T20:48:31Z,2026-08-13T20:48:31Z,0
YouTube,BIh3FhgM49E,8,Ugx7OpihXWCbB7y-ITF4AaABAg,,False,@I0ITuGI0I,UCRyIu1sUTNF3qGYFt8TObKA,http://www.youtube.com/@I0ITuGI0I,"So basically LRE isn't possible until you have majorly late game items and fully upgraded units, ah.",0,2026-08-13T17:55:34Z,2026-08-13T17:55:34Z,1
YouTube,BIh3FhgM49E,8,Ugx7OpihXWCbB7y-ITF4AaABAg.A_SpaAPMkSnA_SvGKv-dBT,Ugx7OpihXWCbB7y-ITF4AaABAg,True,@DBPreacherTacticus,UCH1LnWpEBQkT8zIYIeKazlw,http://www.youtube.com/@DBPreacherTacticus,"Yes, it’s a late game event.  It takes around 9 months to be opening the characters easily",0,2026-08-13T18:45:11Z,2026-08-13T18:45:11Z,
YouTube,BIh3FhgM49E,9,UgzVU66dJloclesnyip4AaABAg,,False,@paulflory4807,UC03y5Fh5KefZfnjhacaMmGA,http://www.youtube.com/@paulflory4807,Hugh fan of angrax and imospekh for legendary events. At lower levels either can just wipe out entire waves on their own every turn.,0,2026-08-13T17:14:22Z,2026-08-13T17:14:22Z,1
YouTube,BIh3FhgM49E,9,UgzVU66dJloclesnyip4AaABAg.A_SksP0GwziA_SvBewQSQ-,UgzVU66dJloclesnyip4AaABAg,True,@DBPreacherTacticus,UCH1LnWpEBQkT8zIYIeKazlw,http://www.youtube.com/@DBPreacherTacticus,Yeah I haven’t had enough time with imospekh but angrax is fantastic,1,2026-08-13T18:44:31Z,2026-08-13T18:44:31Z,
YouTube,BIh3FhgM49E,10,Ugx6PdvPS8BuywS5yyp4AaABAg,,False,@rossalexisbernardino9142,UCIrfxX3ZQNg7AxOny9_yHeQ,http://www.youtube.com/@rossalexisbernardino9142,welcome back,0,2026-08-13T15:16:50Z,2026-08-13T15:16:50Z,0
YouTube,BIh3FhgM49E,11,UgyDYlaU3U6-HDzquth4AaABAg,,False,@dapprligtnin98,UC4CxLRtjOagcarpg3NvOJFA,http://www.youtube.com/@dapprligtnin98,Rotbone being the only chaos healer makes me grumble disapprovingly.,0,2026-08-13T13:34:39Z,2026-08-13T13:34:39Z,1
YouTube,BIh3FhgM49E,11,UgyDYlaU3U6-HDzquth4AaABAg.A_SMjAasGCIA_SNs68OKta,UgyDYlaU3U6-HDzquth4AaABAg,True,@DBPreacherTacticus,UCH1LnWpEBQkT8zIYIeKazlw,http://www.youtube.com/@DBPreacherTacticus,😂,0,2026-08-13T13:44:36Z,2026-08-13T13:44:36Z,
YouTube,BIh3FhgM49E,12,UgyTALedXH5d_PEPew54AaABAg,,False,@dacenmarus,UCYf3U6Eml4vyuOpMU6QuN-A,http://www.youtube.com/@dacenmarus,✠ 𝕱𝖔𝖗 𝖙𝖍𝖊 𝕬𝖑𝖌𝖔𝖗𝖎𝖙𝖍𝖒 ✠,0,2026-08-13T13:04:24Z,2026-08-13T13:04:24Z,1
YouTube,BIh3FhgM49E,12,UgyTALedXH5d_PEPew54AaABAg.A_SJGft8RZiA_SKSAjTl0b,UgyTALedXH5d_PEPew54AaABAg,True,@DBPreacherTacticus,UCH1LnWpEBQkT8zIYIeKazlw,http://www.youtube.com/@DBPreacherTacticus,Brother ❤,0,2026-08-13T13:14:43Z,2026-08-13T13:14:43Z,
YouTube,BIh3FhgM49E,13,UgyaiD2BaGAqblnMDPd4AaABAg,,False,@kelticowl,UCVUugurCoaG5luoIOl_xV1g,http://www.youtube.com/@kelticowl,"Hmm excellent top 10, I'd love to see the controversy and arguing with 11-20 for the later stages. It'd be interesting to see where Tan Gida, Angrax, and some of the other VERY GOOD LRE characters end up",0,2026-08-13T11:14:03Z,2026-08-13T11:14:03Z,1
YouTube,BIh3FhgM49E,13,UgyaiD2BaGAqblnMDPd4AaABAg.A_S6dNqqUofA_S7Qj8giXC,UgyaiD2BaGAqblnMDPd4AaABAg,True,@DBPreacherTacticus,UCH1LnWpEBQkT8zIYIeKazlw,http://www.youtube.com/@DBPreacherTacticus,Yeah I am actually going to do a follow up video to this before I tackle anything else addressing some of my thoughts on what people are saying in the comments and whether I would reconsider any of my positions.,1,2026-08-13T11:20:55Z,2026-08-13T11:20:55Z,
YouTube,BIh3FhgM49E,14,Ugxm38kiiY64ZTzOubF4AaABAg,,False,@kuhvacako,UC6NJqiraFA7n9iCifmUTAIA,http://www.youtube.com/@kuhvacako,I think Mythic Typhus with Relic is better than Madlad now,1,2026-08-13T01:49:04Z,2026-08-13T01:49:04Z,1
YouTube,BIh3FhgM49E,14,Ugxm38kiiY64ZTzOubF4AaABAg.A_R5zLiZeeqA_RVhgiqP1B,Ugxm38kiiY64ZTzOubF4AaABAg,True,@DBPreacherTacticus,UCH1LnWpEBQkT8zIYIeKazlw,http://www.youtube.com/@DBPreacherTacticus,And snotty,0,2026-08-13T05:33:51Z,2026-08-13T05:33:51Z,
YouTube,BIh3FhgM49E,15,UgyjnO_JkG_JgqQwdCt4AaABAg,,False,@Cricketivangus,UCo6an_PdT7MTnf2d2CyG6zQ,http://www.youtube.com/@Cricketivangus,Holy moly! I thought it was controversial to have Kari all the way down at 10 but Kharn didn’t even make the list! Interesting!,0,2026-08-13T01:12:54Z,2026-08-13T01:12:54Z,2
YouTube,BIh3FhgM49E,15,UgyjnO_JkG_JgqQwdCt4AaABAg.A_R1qUBO01-A_RVbINbhxF,UgyjnO_JkG_JgqQwdCt4AaABAg,True,@DBPreacherTacticus,UCH1LnWpEBQkT8zIYIeKazlw,http://www.youtube.com/@DBPreacherTacticus,He’s def top 20.  Who would you replace him with?,0,2026-08-13T05:32:59Z,2026-08-13T05:32:59Z,
YouTube,BIh3FhgM49E,15,UgyjnO_JkG_JgqQwdCt4AaABAg.A_R1qUBO01-A_U7ty-ORe8,UgyjnO_JkG_JgqQwdCt4AaABAg,True,@Cricketivangus,UCo6an_PdT7MTnf2d2CyG6zQ,http://www.youtube.com/@Cricketivangus,"@DBPreacherTacticus
I think I have to go with taking tyrant guard out. The sheer destructive power of Kharn and potentially killing 3 enemies every round (without units breaking and retreating) seems to get me further than hiding behind TG.",0,2026-08-14T06:03:32Z,2026-08-14T06:03:32Z,
YouTube,BIh3FhgM49E,16,Ugycc_Bonj6FsS55fcR4AaABAg,,False,@ironstorm3397,UCFa4vgc6eWoviXbZc_0DBCw,http://www.youtube.com/@ironstorm3397,"I'd personally put Kariyan at #8 because his Martial Ka'Tah trait makes him do double damage against summons and reduces damage from normal attacks by 20%. I think I'm biased because he is my second Mythic character and I find a lot of fun using him on the earlier stages where he's one shotting everything. Honorable mentions to Khârn for his sheer damage output, Jaeger for breaking lots of enemies in melee, Corrodius and Maladus with the Orbs of Decay relic for giving AoE damage, and Typhus with his relic. Death Guard are moving up a few spots in my investment priority.",0,2026-08-13T00:17:12Z,2026-08-13T00:17:12Z,1
YouTube,BIh3FhgM49E,16,Ugycc_Bonj6FsS55fcR4AaABAg.A_QwTZ9Fu_IA_RVgfRz7Lx,Ugycc_Bonj6FsS55fcR4AaABAg,True,@DBPreacherTacticus,UCH1LnWpEBQkT8zIYIeKazlw,http://www.youtube.com/@DBPreacherTacticus,Yep all solid mentions,0,2026-08-13T05:33:42Z,2026-08-13T05:33:42Z,
YouTube,BIh3FhgM49E,17,Ugxa1ik8Et41IbzSHId4AaABAg,,False,@thefrienemypodcast6073,UCDvqY9vtzdEJGYbRuwjAEyw,http://www.youtube.com/@thefrienemypodcast6073,"Goes to show again, the Dark Angels are so bad in this game. They need some serious attention.",1,2026-08-12T23:49:28Z,2026-08-12T23:49:28Z,2
YouTube,BIh3FhgM49E,17,Ugxa1ik8Et41IbzSHId4AaABAg.A_QtIL7V8wfA_RVvB38oC8,Ugxa1ik8Et41IbzSHId4AaABAg,True,@DBPreacherTacticus,UCH1LnWpEBQkT8zIYIeKazlw,http://www.youtube.com/@DBPreacherTacticus,Yeah I don’t even think any of them would be in my top 30.,2,2026-08-13T05:35:41Z,2026-08-13T05:35:41Z,
YouTube,BIh3FhgM49E,17,Ugxa1ik8Et41IbzSHId4AaABAg.A_QtIL7V8wfA_Rsnz9swml,Ugxa1ik8Et41IbzSHId4AaABAg,True,@Vanhal11,UCKyLq7JdYPNHeZes6r1ekiA,http://www.youtube.com/@Vanhal11,"@DBPreacherTacticus Maybe Forcas, but seriously, they were designed to work with eachother and they do that their synergies are quite fun, but they are just weak.",0,2026-08-13T09:04:25Z,2026-08-13T09:04:25Z,
YouTube,BIh3FhgM49E,18,Ugzbm2Y3JK61VPA-HxZ4AaABAg,,False,@jaygee599,UC6bMKMIp_JvWNbjVSV0DI3A,http://www.youtube.com/@jaygee599,"LMFAO, "" the Aleph null stuck up revas butt""
 comment KILLED ME",4,2026-08-12T23:23:09Z,2026-08-12T23:23:09Z,1
YouTube,BIh3FhgM49E,18,Ugzbm2Y3JK61VPA-HxZ4AaABAg.A_QqHbV6i6aA_RVppoKvtt,Ugzbm2Y3JK61VPA-HxZ4AaABAg,True,@DBPreacherTacticus,UCH1LnWpEBQkT8zIYIeKazlw,http://www.youtube.com/@DBPreacherTacticus,😂😂😂,1,2026-08-13T05:34:58Z,2026-08-13T05:34:58Z,
YouTube,BIh3FhgM49E,19,UgwCE7ry23gIPfi1Uhx4AaABAg,,False,@tehsamuels,UCt9bTn4YPhWf5zxU5l5VA2g,http://www.youtube.com/@tehsamuels,"Didn’t even mention rotbones relic, it is awesome in LRE.",0,2026-08-12T23:16:56Z,2026-08-12T23:16:56Z,1
YouTube,BIh3FhgM49E,19,UgwCE7ry23gIPfi1Uhx4AaABAg.A_Qp_2KvB6eA_RVdKfkfGe,UgwCE7ry23gIPfi1Uhx4AaABAg,True,@DBPreacherTacticus,UCH1LnWpEBQkT8zIYIeKazlw,http://www.youtube.com/@DBPreacherTacticus,I’ll do better next time,0,2026-08-13T05:33:15Z,2026-08-13T05:33:15Z,
YouTube,BIh3FhgM49E,20,UgweczxM4L3Py51fYFB4AaABAg,,False,@Nakayaro,UC6mtjl66FytNsvFZiF4OE-g,http://www.youtube.com/@Nakayaro,"Abbadon is overlooked, with his relic he can kill 4 ennemies in one turn, self heal once, terminator armor + huge damage buff with 2 hex range and also a ranged attack",11,2026-08-12T22:40:13Z,2026-08-12T22:40:13Z,1
